,SRX9690461_SRR13259899,SRX9690462_SRR13259900,SRX9690463_SRR13259901,SRX9690464_SRR13259902,SRX9690465_SRR13259903,SRX9690466_SRR13259904,SRX9690467_SRR13259905,SRX9690468_SRR13259906
ENSG00000000003,0,0,0,4.61224014483599,0,0,1.05150193874993,0
ENSG00000000005,0,0,0,0,0,0,0,0
ENSG00000000419,180.12365915232,227.788678074663,158.197828551909,184.48960579344,197.416681386431,105.843476878289,111.459205507493,221.772473272436
ENSG00000000457,221.328417781936,197.416854331374,366.352866120211,218.312700188904,335.792859928322,189.006208711231,238.690940096235,231.01299299212
ENSG00000000460,40.0274798116266,46.5701297397088,21.4102324355968,43.0475746851359,24.9077121375404,32.1310554809092,15.772529081249,55.4431183181089
ENSG00000000938,14966.7456130944,8571.94105448076,67090.1527943,18562.7291695832,26917.8567578256,20008.1972541709,32769.0064192029,26611.856745445
ENSG00000000971,2.35455763597804,4.04957649910512,1.18945735753315,3.84353345402999,1.84501571389188,0,0,0
ENSG00000001036,247.228551777694,366.486673169013,164.145115339575,193.714086083112,300.737561364376,397.858069337141,316.50208356373,357.020080078732
ENSG00000001084,136.564342886726,142.747571593455,41.6310075136604,83.0203226070478,82.1031992681886,87.8878870507223,44.1630814274972,62.1634962960615
ENSG00000001167,267.242291683507,232.850648698544,435.341392857134,393.577825692671,436.346216335429,317.530430634868,269.184496319983,350.299702100779
ENSG00000001460,18.8364610878243,41.5081591158275,20.2207750780636,33.0543877046579,15.682633568081,23.6257760889038,18.9270348974988,31.0817481480307
ENSG00000001461,141.273458158682,296.63147855945,134.408681401246,193.714086083112,150.368780682188,184.28105349345,191.373352852488,177.2499691685
ENSG00000001497,287.256031589321,323.966119928409,123.703565183448,232.149420623411,309.04013207689,365.727013856232,248.154457544984,259.574599398419
ENSG00000001561,36.4956433576596,28.3470354937358,11.8945735753315,56.8842951196439,16.6051414250269,22.6807450453477,5.25750969374966,83.1646774771634
ENSG00000001617,4.70911527195608,0,7.13674414519892,0,0,0,0,0.840047247244074
ENSG00000001626,0,2.02478824955256,0,0,0,0,0,0
ENSG00000001629,84.7640748952093,85.0411064812075,101.103875390318,106.081523331228,85.7932306959724,51.9767073955885,43.1115794887472,71.4040160157463
ENSG00000001630,1.17727881798902,0,0,5.38094683564199,0,1.89006208711231,4.20600775499973,4.20023623622037
ENSG00000001631,18.8364610878243,28.3470354937358,26.1680618657294,28.4421475598219,17.5276492819728,20.7906829582354,13.6695252037491,25.2014174173222
ENSG00000002016,38.8502009936376,73.9047711086684,41.6310075136604,79.1767891530178,37.8228221347835,55.7568315698131,36.8025678562476,62.1634962960615
ENSG00000002079,0,0,0,0,0,0,0,0
ENSG00000002330,319.042559675024,289.544719686016,446.046509074933,331.312583737385,241.697058519836,316.585399591312,318.605087441229,389.78192272125
ENSG00000002549,565.093832634729,968.861177410899,2822.58230942617,408.183252817985,2043.35490313526,1282.4071261057,1965.25712352362,775.36360920628
ENSG00000002586,2979.69268833021,3210.30176966558,2465.74510216623,2267.68473787769,1934.49897601563,2702.7887845706,2590.90077707983,1505.36466706138
ENSG00000002587,3.53183645396706,12.1487294973154,7.13674414519892,11.53060036209,0,2.83509313066846,3.1545058162498,10.0805669669289
ENSG00000002726,4.70911527195608,3.03718237432884,298.553796740822,33.8230943954639,0.922507856945939,8.50527939200538,519.441957742466,141.127937537004
